36,12,"aka","AERO-CARIBBEAN",-0- 
173,57,"aka","AVIA IMPORT",-0- 
306,220,"aka","NATIONAL BANK OF CUBA",-0- 
540,471,"aka","COIBA",-0- 
552,475,"aka","CRYMSA",-0- 
555,477,"aka","COPROVA",-0- 
555,478,"aka","COPROVA SARL",-0- 
559,481,"aka","CIMEX",-0- 
651,556,"aka","DELVEST HOLDING COMPANY",-0- 
735,583,"aka","CUBANA AIRLINES",-0- 
751,600,"aka","CARIBBEAN EXPORT ENTERPRISE",-0- 
758,613,"aka","CUBATUR",-0- 
815,641,"aka","GALAX INC.",-0- 
906,46100,"aka","HAVANA INTERNATIONAL BANK, LTD",-0- 
1287,888,"aka","CUFLET",-0- 
1287,889,"aka","CUBAN FREIGHT ENTERPRISE",-0- 
2109,1409,"aka","TROVER, S.A.",-0- 
2110,1410,"aka","TROPICANA TOURS GMBH",-0- 
2674,1795,"aka","ZAYDAN, Muhammad",-0- 
2676,4760,"aka","AL-ZAWAHIRI, Ayman",-0- 
2676,4761,"aka","SALIM, Ahmad Fuad",-0- 
2676,4787,"aka","AL-ZAWAHIRI, Aiman Muhammad Rabi",-0- 
2677,1796,"aka","ZUMAR, Abbud",-0- 
2677,49609,"aka","AL-ZUMAR, Abbud",-0- 
2677,49610,"aka","EL-ZOMOR, Aboud Abdul Latif Hasan",-0- 
2677,49611,"aka","AL-ZUMUR, Abood Abdul Latif Hassan",-0- 
2677,49612,"aka","AL-ZAMUR, Abboud Abdul Latif Hassan",-0- 
2681,1798,"aka","HAWATMEH, Nayif",-0- 
2681,1799,"aka","HAWATMAH, Nayif",-0- 
2681,1800,"aka","KHALID, Abu",-0- 
2683,1823,"aka","JIBRIL, Ahmad",-0- 
2686,22740,"aka","NASRALLAH, Hasan Abd-al-Karim",-0- 
3749,3331,"aka","GENERAL NICKEL SA",-0- 
3754,3341,"aka","MARZUK, Musa Abu",-0- 
3754,3342,"aka","ABU-MARZUQ, Dr. Musa",-0- 
3754,3343,"aka","MARZOOK, Mousa Mohamed Abou",-0- 
3754,3344,"aka","ABU-MARZUQ, Sa'id",-0- 
3754,5821,"aka","MARZOUK, Musa Abu",-0- 
